stakeholder_ids,goal_ids,use_case_ids,requirement_id,architecture_element_ids,interface_schema_or_state_ids,adr_ids,task_id,test_id,evidence_artifact
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-001,ARC-CLI;ARC-COMPILER,ARC-CLI;ARC-COMPILER,ADR-001,TASK-0311,VT-FR-001,validation/evidence/VT-FR-001.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-001,ARC-CLI;ARC-COMPILER,ARC-CLI;ARC-COMPILER,ADR-001,TASK-0711,VT-FR-001,validation/evidence/VT-FR-001.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-002,ARC-HTTP;ARC-ASSERT,ARC-HTTP;ARC-ASSERT,,TASK-0102,VT-FR-002,validation/evidence/VT-FR-002.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-002,ARC-HTTP;ARC-ASSERT,ARC-HTTP;ARC-ASSERT,,TASK-0508,VT-FR-002,validation/evidence/VT-FR-002.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-003,ARC-REF,ARC-REF,,TASK-0701,VT-FR-003,validation/evidence/VT-FR-003.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-003,ARC-REF,ARC-REF,,TASK-0711,VT-FR-003,validation/evidence/VT-FR-003.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-004,ARC-REF,ARC-REF,ADR-008,TASK-0711,VT-FR-004,validation/evidence/VT-FR-004.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-005,ARC-CLI;ARC-COMPILER,ARC-CLI;ARC-COMPILER,ADR-018,TASK-0809,VT-FR-005,validation/evidence/VT-FR-005.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-006,ARC-ASSERT;ARC-REPORT-JSON,IF-PLAN,,TASK-0508,VT-FR-006,validation/evidence/VT-FR-006.json
STAKE-001;STAKE-002,GOAL-001;GOAL-002;GOAL-006,UC-004,FR-006,ARC-ASSERT;ARC-REPORT-JSON,IF-PLAN,,TASK-0602,VT-FR-006,validation/evidence/VT-FR-006.json
